vehicle_brand,year,engine_capacity,miles_driven,selling_price
BMW,2010,3.0,82,36900.0
BMW,1985,2.5,280,4300.0
Volkswagen,2010,1.4,60,10700.0
Toyota,2011,2.5,75,23500.0
BMW,2012,3.0,82,49900.0
Renault,2011,1.5,84,8400.0
Toyota,2014,3.0,43,52500.0
Mercedes-Benz,2016,3.0,1,124000.0
Volkswagen,1994,1.9,250,1199.0
Volkswagen,2008,3.0,151,20800.0
Toyota,2013,4.5,128,64000.0
Renault,1987,1.4,250,1150.0
Volkswagen,2011,1.6,200,9300.0
BMW,2010,2.0,158,17000.0
Renault,2012,1.5,177,11700.0
Volkswagen,2016,1.6,1,14500.0
Volkswagen,1996,2.8,300,3800.0
Toyota,2016,1.33,1,17394.0858
Mercedes-Benz,2008,5.0,134,29500.0
Audi,2012,5.2,12,98000.0
Audi,2004,2.0,420,3700.0
Volkswagen,2013,2.0,110,18000.0
Audi,2007,3.0,245,23500.0
Audi,2009,2.0,125,18300.0
Mercedes-Benz,1997,2.9,380,7300.0
Toyota,2012,2.5,88,21900.0
Volkswagen,2007,2.5,179,18200.0
Mercedes-Benz,2008,2.2,234,15300.0
Volkswagen,2013,1.4,123,13900.0
BMW,1994,3.0,333,4700.0
Volkswagen,2012,2.0,158,14899.0
Mitsubishi,2000,3.0,320,8500.0
Audi,2006,3.0,245,18500.0
BMW,2007,4.8,138,22000.0
Volkswagen,1993,2.4,400,5000.0
Audi,2006,2.7,200,8000.0
Volkswagen,2011,1.6,181,9000.0
Toyota,2008,2.4,139,13500.0
Renault,2009,1.5,100,6450.0
Audi,2013,2.0,80,31500.0
Audi,1999,2.5,280,2500.0
Volkswagen,2012,1.6,152,9555.0
Mercedes-Benz,2007,3.0,165,22600.0
Volkswagen,1999,1.9,330,2600.0
Mercedes-Benz,2007,2.2,211,11700.0
Volkswagen,2015,2.0,1,27200.0
Mercedes-Benz,2002,2.2,197,7000.0
BMW,1997,2.8,320,6899.0
Volkswagen,2008,1.6,130,9700.0
Volkswagen,2001,2.5,325,6800.0
BMW,2007,4.8,195,24500.0
Audi,2011,2.0,122,22800.0
Mercedes-Benz,2002,2.2,400,3100.0
BMW,2007,3.0,186,21000.0
Toyota,2012,4.5,90,65000.0
Mitsubishi,2012,2.4,47,21500.0
Volkswagen,2006,1.8,160,4100.0
Renault,2012,1.5,148,7440.0
Mercedes-Benz,2000,2.0,230,7000.0
Volkswagen,2002,1.8,320,6900.0
Mercedes-Benz,1992,2.5,240,1350.0
Volkswagen,2003,1.4,180,7350.0
BMW,2001,1.9,250,8999.0
BMW,2002,2.2,300,8990.0
Volkswagen,2005,1.9,168,7400.0
Mercedes-Benz,1997,2.9,400,2700.0
BMW,2009,3.0,140,27800.0
Mercedes-Benz,1997,2.9,360,2150.0
Toyota,2009,1.0,87,11300.0
Renault,2004,1.9,208,7450.0
Renault,2012,2.0,190,10100.0
Mercedes-Benz,2002,2.2,257,3500.0
Volkswagen,1996,2.0,197,3650.0
BMW,2008,4.8,163,25500.0
Mercedes-Benz,1995,1.8,257,1650.0
Audi,2000,4.2,327,6557.85
Volkswagen,2012,2.0,1,15900.0
Volkswagen,1994,1.8,262,3750.0
Audi,2010,2.0,99,22500.0
Renault,2003,1.9,245,2350.0
Volkswagen,2007,1.9,207,12500.0
Audi,1996,2.5,421,6500.0
Audi,2003,2.5,190,4400.0
Mitsubishi,2007,2.0,143,7900.0
Mercedes-Benz,2006,2.2,386,16500.0
Volkswagen,2014,1.0,11,12650.0
Volkswagen,2011,1.6,66,10000.0
Mercedes-Benz,2007,3.0,266,16800.0
Mercedes-Benz,2006,2.5,154,10200.0
BMW,1997,2.5,300,2250.0
BMW,2008,4.8,160,28500.0
Toyota,2003,2.0,289,5000.0
Audi,2013,3.0,80,49700.0
Mercedes-Benz,1996,2.3,239,6900.0
Volkswagen,2006,3.2,186,12000.0
BMW,2014,3.0,70,66200.0
BMW,2005,4.5,95,19900.0
Mitsubishi,2007,1.6,152,6500.0
BMW,2002,3.6,219,12600.0
BMW,2005,4.4,250,18500.0
Toyota,2012,3.5,80,28700.0
BMW,2006,2.5,250,15300.0
Mercedes-Benz,2010,2.0,69,20200.0
Mitsubishi,1989,1.8,300,2900.0
Volkswagen,2002,2.5,255,9700.0
Audi,2013,2.0,35,30650.0
Audi,2003,2.5,189,9700.0
Mercedes-Benz,1995,2.2,535,2100.0
Volkswagen,2011,2.0,62,22500.0
Audi,1999,2.5,250,1850.0
BMW,2011,3.0,82,39900.0
BMW,1997,2.5,290,2200.0
Mercedes-Benz,2003,4.0,287,4000.0
BMW,2013,3.0,69,22600.0
Volkswagen,1993,1.9,318,3000.0
Audi,2012,1.8,43,24300.0
Mercedes-Benz,2016,2.2,1,71999.0
Volkswagen,2013,2.0,154,13499.0
Renault,2010,2.0,159,12350.0
Renault,2011,2.0,64,12350.0
Volkswagen,2012,1.4,1,4200.0
Mercedes-Benz,2007,3.0,160,24800.0
Toyota,2011,4.0,102,35999.0
Mercedes-Benz,2002,3.2,180,9500.0
Mercedes-Benz,2011,2.14,144,27300.0
Volkswagen,2009,2.0,229,14500.0
Audi,2001,2.5,223,3400.0
Mercedes-Benz,2007,3.0,232,18900.0
Toyota,2016,1.6,1,20711.2464
Volkswagen,1991,1.8,201,3399.0
Volkswagen,1994,2.8,330,3600.0
Mercedes-Benz,2014,5.5,82,137000.0
Mercedes-Benz,2008,3.0,250,28000.0
Mercedes-Benz,2012,2.2,10,46900.0
Audi,1990,2.2,360,3500.0
BMW,2008,4.8,270,26000.0
BMW,1998,2.5,298,6500.0
Renault,2013,1.2,57,8500.0
Volkswagen,1994,2.0,220,3500.0
Volkswagen,1999,1.4,247,1700.0
Mitsubishi,2008,2.0,95,9300.0
Mercedes-Benz,2016,2.2,1,102800.0
Volkswagen,2012,3.0,108,34500.0
Volkswagen,2005,2.0,220,4500.0
Mercedes-Benz,2004,3.2,300,6100.0
Volkswagen,2008,2.0,187,12000.0
Volkswagen,1994,1.6,238,4400.0
BMW,2016,2.0,1,66500.0
Audi,2002,2.5,255,9499.0
Audi,2006,2.0,250,5700.0
Mercedes-Benz,2007,6.3,29,39900.0
BMW,1999,2.5,303,2200.0
Renault,2012,2.0,83,14200.0
Toyota,2005,2.7,161,18900.0
BMW,2011,4.4,110,37500.0
Toyota,1999,4.2,281,16200.0
Mitsubishi,2008,2.0,130,10500.0
Audi,2007,4.2,150,27300.0
Audi,2000,2.8,186,9300.0
Volkswagen,2016,1.6,1,13300.95
BMW,2003,4.6,308,17200.0
BMW,2013,3.0,23,51500.0
Mitsubishi,2006,1.3,250,5100.0
Mercedes-Benz,2015,1.6,1,45000.0
Mitsubishi,2012,2.5,11,24500.0
Toyota,2009,2.0,35,17999.0
Volkswagen,1995,1.6,297,2500.0
Volkswagen,2008,1.8,152,12000.0
Mercedes-Benz,1999,3.0,300,2300.0
BMW,2001,2.0,240,8900.0
Mitsubishi,2007,1.6,195,7500.0
Mercedes-Benz,2012,2.2,217,14600.0
Mitsubishi,2009,1.8,125,8900.0
Mercedes-Benz,2016,5.5,3,249999.0
Audi,2013,3.0,126,48000.0
Toyota,2008,2.4,71,14300.0
Mercedes-Benz,2008,1.8,107,17300.0
Mercedes-Benz,1997,5.0,210,8700.0
Toyota,2015,2.2,29,28800.0
Mitsubishi,1989,1.8,156,1599.0
BMW,2006,3.0,218,12000.0
Mercedes-Benz,1980,2.8,230,7777.0
Renault,2012,2.0,164,10100.0
Toyota,2008,4.0,144,29900.0
BMW,1995,2.0,300,4400.0
Mercedes-Benz,1987,2.0,400,4100.0
Volkswagen,1986,1.6,311,3100.0
Audi,2013,2.0,118,34000.0
BMW,2009,4.4,134,33700.0
Mercedes-Benz,2016,2.2,1,109999.0
Mercedes-Benz,2002,2.0,190,7400.0
Mercedes-Benz,1988,2.0,330,3300.0
Audi,1998,2.5,304,2550.0
Audi,1999,2.8,407,2500.0
BMW,2010,3.0,130,31500.0
Volkswagen,2011,2.0,125,18500.0
Volkswagen,2014,2.0,20,35000.0
Renault,2008,1.5,73,6300.0
BMW,2016,2.0,6,39333.0
BMW,2016,2.0,1,43719.0
Volkswagen,2000,1.9,300,2700.0
Toyota,2012,2.5,77,20999.0
Mercedes-Benz,2016,3.0,1,107999.0
Mercedes-Benz,2005,2.2,275,9900.0
Toyota,2008,1.6,87,10400.0
BMW,1999,2.0,294,3000.0
Renault,2012,1.5,151,7650.0
Mitsubishi,2007,3.2,160,18000.0
Toyota,2005,4.5,94,20000.0
Toyota,2014,1.3,43,9003.15
Volkswagen,2013,1.4,80,15500.0
Audi,2011,2.0,74,27500.0
Mercedes-Benz,2015,1.6,39,38200.0
Volkswagen,2011,2.0,140,10600.0
BMW,2016,2.0,29,45000.0
Renault,2013,1.5,141,11300.0
Mitsubishi,2008,2.4,142,12499.0
Volkswagen,2008,1.6,185,9600.0
Volkswagen,1995,2.4,326,5000.0
Audi,2007,2.0,177,15499.0
Toyota,2016,3.0,4,46500.0
BMW,2004,2.5,300,11900.0
BMW,2002,3.0,230,6499.0
Renault,2012,1.5,127,11000.0
Audi,1988,2.0,1,3500.0
Volkswagen,2007,2.0,235,10300.0
Toyota,2008,4.0,174,23499.0
Mercedes-Benz,2013,3.5,19,200000.0
Mercedes-Benz,2013,3.0,128,55000.0
Renault,2007,1.5,180,5700.0
BMW,2010,3.0,97,37900.0
Renault,2012,1.5,156,7400.0
Mercedes-Benz,2007,3.5,225,22000.0
Audi,2007,1.8,85,11500.0
Toyota,2013,3.5,120,44700.0
Renault,2005,1.5,250,3300.0
Mercedes-Benz,2008,3.5,180,18500.0
Renault,2009,1.5,222,6999.0
Toyota,2007,1.8,185,10200.0
Mercedes-Benz,2016,3.5,1,109000.0
Mercedes-Benz,2007,5.5,162,26800.0
BMW,2010,4.8,85,15000.0
Volkswagen,2007,2.0,128,12500.0
Audi,1996,1.6,305,6100.0
Audi,1999,2.5,450,2750.0
Mercedes-Benz,2012,1.8,162,17800.0
Volkswagen,2006,2.0,110,9850.0
Audi,2006,2.4,165,12500.0
Volkswagen,2003,1.8,325,7650.0
Audi,1997,2.8,380,4000.0
Audi,1996,1.9,263,4000.0
BMW,2013,2.0,38,27900.0
Volkswagen,2011,1.4,145,16900.0
Mitsubishi,2011,2.5,98,21000.0
Mitsubishi,2008,2.0,105,8800.0
Mercedes-Benz,2008,6.0,21,70000.0
BMW,2001,2.5,315,9500.0
Volkswagen,2013,2.0,67,30000.0
BMW,2006,3.0,250,13500.0
Mercedes-Benz,1995,1.8,350,5000.0
Renault,2012,1.5,188,11999.0
Volkswagen,2008,1.9,137,10200.0
BMW,2012,3.0,176,41500.0
Volkswagen,2003,1.9,180,2200.0
BMW,2006,3.0,210,11800.0
BMW,2000,2.0,260,2899.0
Mercedes-Benz,2011,4.6,59,43500.0
BMW,1998,2.0,241,8200.0
Audi,2008,4.0,122,24500.0
Volkswagen,2008,2.0,130,11500.0
BMW,2013,3.0,90,55500.0
