vehicle_brand,year,engine_capacity,miles_driven,selling_price
Volkswagen,2010,1.4,60,10700
Toyota,2011,2.5,75,23500
Renault,2011,1.5,84,8400
Volkswagen,1994,1.9,250,1199
Volkswagen,2008,3,151,20800
Volkswagen,2011,1.6,200,9300
BMW,2010,2,158,17000
Renault,2012,1.5,177,11700
Volkswagen,2016,1.6,1,14500
Volkswagen,1996,2.8,300,3800
Toyota,2016,1.33,1,17394.0858
Audi,2004,2,420,3700
Volkswagen,2013,2,110,18000
Audi,2007,3,245,23500
Audi,2009,2,125,18300
Mercedes-Benz,1997,2.9,380,7300
Toyota,2012,2.5,88,21900
Volkswagen,2007,2.5,179,18200
Mercedes-Benz,2008,2.2,234,15300
Volkswagen,2013,1.4,123,13900
BMW,1994,3,333,4700
Volkswagen,2012,2,158,14899
Mitsubishi,2000,3,320,8500
Audi,2006,3,245,18500
Volkswagen,1993,2.4,400,5000
Audi,2006,2.7,200,8000
Volkswagen,2011,1.6,181,9000
Toyota,2008,2.4,139,13500
Renault,2009,1.5,100,6450
Audi,1999,2.5,280,2500
Volkswagen,2012,1.6,152,9555
Mercedes-Benz,2007,3,165,22600
Volkswagen,1999,1.9,330,2600
Mercedes-Benz,2007,2.2,211,11700
Mercedes-Benz,2002,2.2,197,7000
BMW,1997,2.8,320,6899
Volkswagen,2008,1.6,130,9700
Volkswagen,2001,2.5,325,6800
Audi,2011,2,122,22800
Mercedes-Benz,2002,2.2,400,3100
BMW,2007,3,186,21000
Mitsubishi,2012,2.4,47,21500
Volkswagen,2006,1.8,160,4100
Renault,2012,1.5,148,7440
Mercedes-Benz,2000,2,230,7000
Volkswagen,2002,1.8,320,6900
Mercedes-Benz,1992,2.5,240,1350
Volkswagen,2003,1.4,180,7350
BMW,2001,1.9,250,8999
BMW,2002,2.2,300,8990
Volkswagen,2005,1.9,168,7400
Mercedes-Benz,1997,2.9,400,2700
Mercedes-Benz,1997,2.9,360,2150
Toyota,2009,1,87,11300
Renault,2004,1.9,208,7450
Renault,2012,2,190,10100
Mercedes-Benz,2002,2.2,257,3500
Volkswagen,1996,2,197,3650
Mercedes-Benz,1995,1.8,257,1650
Volkswagen,2012,2,1,15900
Volkswagen,1994,1.8,262,3750
Audi,2010,2,99,22500
Renault,2003,1.9,245,2350
Volkswagen,2007,1.9,207,12500
Audi,1996,2.5,421,6500
Audi,2003,2.5,190,4400
Mitsubishi,2007,2,143,7900
Mercedes-Benz,2006,2.2,386,16500
Volkswagen,2014,1,11,12650
Volkswagen,2011,1.6,66,10000
Mercedes-Benz,2007,3,266,16800
Mercedes-Benz,2006,2.5,154,10200
BMW,1997,2.5,300,2250
Toyota,2003,2,289,5000
Mercedes-Benz,1996,2.3,239,6900
Volkswagen,2006,3.2,186,12000
Mitsubishi,2007,1.6,152,6500
BMW,2006,2.5,250,15300
Mercedes-Benz,2010,2,69,20200
Volkswagen,2002,2.5,255,9700
Audi,2003,2.5,189,9700
Volkswagen,2011,2,62,22500
Audi,1999,2.5,250,1850
BMW,1997,2.5,290,2200
BMW,2013,3,69,22600
Volkswagen,1993,1.9,318,3000
Audi,2012,1.8,43,24300
Volkswagen,2013,2,154,13499
Renault,2010,2,159,12350
Renault,2011,2,64,12350
Volkswagen,2012,1.4,1,4200
Mercedes-Benz,2007,3,160,24800
Mercedes-Benz,2002,3.2,180,9500
Volkswagen,2009,2,229,14500
Audi,2001,2.5,223,3400
Mercedes-Benz,2007,3,232,18900
Toyota,2016,1.6,1,20711.2464
Volkswagen,1991,1.8,201,3399
